id,rodada,time_mandante,gols_mandante,gols_visitante,time_visitante,status,resultado
0,1,São Paulo,0,0,Recife,Finalizado,Empate
1,1,Cruzeiro,2,1,Mirassol,Finalizado,Mandante
2,1,Grêmio,2,1,Mineiro,Finalizado,Mandante
3,1,Fortaleza,2,0,Fluminense,Finalizado,Mandante
4,1,Juventude,2,0,Vitória,Finalizado,Mandante
5,1,Flamengo,1,1,Internacional,Finalizado,Empate
6,1,Palmeiras,0,0,Botafogo,Finalizado,Empate
7,1,Vasco da Gama,2,1,Santos,Finalizado,Mandante
8,1,Bahia,1,1,Corinthians,Finalizado,Empate
9,1,Bragantino,2,2,Ceará,Finalizado,Empate
10,2,Corinthians,3,0,Vasco da Gama,Finalizado,Mandante
11,2,Ceará,2,0,Grêmio,Finalizado,Mandante
12,2,Botafogo,2,0,Juventude,Finalizado,Mandante
13,2,Fluminense,2,1,Bragantino,Finalizado,Mandante
14,2,Mineiro,0,0,São Paulo,Finalizado,Empate
15,2,Mirassol,1,1,Fortaleza,Finalizado,Empate
16,2,Internacional,3,0,Cruzeiro,Finalizado,Mandante
17,2,Vitória,1,2,Flamengo,Finalizado,Visitante
18,2,Recife,1,2,Palmeiras,Finalizado,Visitante
19,2,Santos,2,2,Bahia,Finalizado,Empate
20,3,Bragantino,1,0,Botafogo,Finalizado,Mandante
21,3,Juventude,2,1,Ceará,Finalizado,Mandante
22,3,Palmeiras,2,0,Corinthians,Finalizado,Mandante
23,3,Vasco da Gama,3,1,Recife,Finalizado,Mandante
24,3,Bahia,1,1,Mirassol,Finalizado,Empate
25,3,São Paulo,1,1,Cruzeiro,Finalizado,Empate
26,3,Grêmio,0,2,Flamengo,Finalizado,Visitante
27,3,Fluminense,1,0,Santos,Finalizado,Mandante
28,3,Fortaleza,0,0,Internacional,Finalizado,Empate
29,3,Mineiro,2,2,Vitória,Finalizado,Empate
30,4,Ceará,2,1,Vasco da Gama,Finalizado,Mandante
31,4,Botafogo,2,2,São Paulo,Finalizado,Empate
